Status,=,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,ec53a8c4f07baed5d8825072c89799be
"Pending approval","Wartet auf Freigabe",,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,b8e2c23a15e49a10d6f0562a3dce2538
Approved,Freigegeben,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,6f8063417ab31f38d864c28302f3de2f
SPAM,=,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,c72beebe6ecbdddff71b846c4858ebcb
FrontendComments,=,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,6b8c682577d63258030293d8bac4919b
"Inputfield for managing comments on a page.","Eingabefeld für die Verwaltung von Kommentaren auf einer Seite.",,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,b28e4f256b1d9cf092c2d20c9f3a2072
"pending Approval","Wartet auf Freigabe",,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,b652354b99a077535119e223776f3110
approved,Freigegeben,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,787d5f05953ec39b108869dfdd7733e6
en,de,description,file,hash
"A new comment has been submitted","Es wurde ein neuer Kommentar eingereicht",,site/modules/FieldtypeFrontendComments/Notifications.php,b8bfb1838004df66c035d63b9da9ffe9
"Comment status",Kommentar-Status,,site/modules/FieldtypeFrontendComments/Notifications.php,693e14c3c0dd3757d95b4ee5cf0d7bb3
"Publish the comment","Den Kommentar veröffentlichen",,site/modules/FieldtypeFrontendComments/Notifications.php,6b6304f063e87c3dee21decab212a84b
"Mark this comment as SPAM","Dem Kommentar als SPAM markieren",,site/modules/FieldtypeFrontendComments/Notifications.php,29eaf723511eeb59761c47306b96da22
comment-notification,Kommentar-Benachrichtigung,,site/modules/FieldtypeFrontendComments/Notifications.php,cb4e3114336d9bafb764a393cde7fcda
"A new reply has been posted","Es wurde eine neue Antwort getätigt",,site/modules/FieldtypeFrontendComments/Notifications.php,f705e618788426fa888d4f61524b670c
"A new reply has been submitted","Es wurde eine neue Antwort übermittelt",,site/modules/FieldtypeFrontendComments/Notifications.php,1d833f9fc1cdde2141e734b011366ede
"You are receiving this email because you have agreed to be notified when a new reply has been posted.","Sie erhalten diese E-Mail, weil Sie zugestimmt haben, benachrichtigt zu werden, wenn eine neue Antwort veröffentlicht wurde.",,site/modules/FieldtypeFrontendComments/Notifications.php,ed5bf3f989f7bcb0cb50f883ef6e7e44
"New comment","Neuer Kommentar",,site/modules/FieldtypeFrontendComments/Notifications.php,186c30cab59f6b64a453778330d4bbf0
Author,Verfasser,,site/modules/FieldtypeFrontendComments/Notifications.php,a517747c3d12f99244ae598910d979c5
"Link to the page of the comment","Link zur Seite des Kommentars",,site/modules/FieldtypeFrontendComments/Notifications.php,cd9ba3529709aad17284cef5ef76109f
"If you do not want to receive further mails about new replies, please click the link below","Wenn Sie keine weiteren Mails über neue Antworten erhalten möchten, klicken Sie bitte auf den folgenden Link",,site/modules/FieldtypeFrontendComments/Notifications.php,18598d7ecd6e1628453abf0380022ddf
"Stop sending me further notification mails about new comments","Keine weiteren Benachrichtigungsmails über neue Kommentare mehr schicken",,site/modules/FieldtypeFrontendComments/Notifications.php,d4ca2f5e9339a7dd75747d396760f67f
"New reply to a comment","Neue Antwort auf einen Kommentar",,site/modules/FieldtypeFrontendComments/Notifications.php,b424841ebd158f5a05338850f5a3e60e
"The status of your comment has been changed by a moderator","Der Status Ihres Kommentars wurde von einem Moderator geändert",,site/modules/FieldtypeFrontendComments/Notifications.php,8128b8bae3e78a77db90f8d948926c72
"We would like to inform you that the following comment you wrote has now been reviewed by a moderator:","Wir möchten Sie darüber informieren, dass der folgende Kommentar, den Sie geschrieben haben, nun von einem Moderator überprüft wurde:",,site/modules/FieldtypeFrontendComments/Notifications.php,367818acd5ca55baad45049e66136360
"The status of the comment has been changed to:","Der Status des Kommentars wurde geändert auf:",,site/modules/FieldtypeFrontendComments/Notifications.php,89d59b6a2e328a01b01f0dec2cd23275
"Your comment is now published and visible to all.","Ihr Kommentar ist nun veröffentlicht und für alle sichtbar.",,site/modules/FieldtypeFrontendComments/Notifications.php,09789237402e2ad6257d0c5bb4a4f3d3
"Link to the comment page","Link zur Kommentarseite",,site/modules/FieldtypeFrontendComments/Notifications.php,963704b9cc7e54e0d111c634a5ae26ca
"Comment status has been changed","Der Kommentarstatus wurde geändert",,site/modules/FieldtypeFrontendComments/Notifications.php,1351a9eb61a28d8c8c5ba8bdd56fc97b
"Your comment status has been changed to %s","Ihr Kommentarstatus wurde auf %s geändert",,site/modules/FieldtypeFrontendComments/Notifications.php,40994b502d147cb982c49808562ae426

